,episode_id,instruction,replanning_count_0,run_id,runtime,sim_step_count,task_percent_complete,task_state_success,unique_episode_id
199,956,"Help me tidy up the living room. First, move the vase and stuffed toy from the table to the couch. Place them next to each other. The vase is glossy gray with an elongated neck, and the stuffed toy is a yellow giraffe with a red bag. The vase is from my travel abroad.",11.0,0,330.18392968177795,3212.0,1.0,1.0,956_0
573,957,Bring the book from the living room to the bedroom and place it on the chest of drawers. The book is white with subtle yellow accents and a bookmark. This book was a gift from my friend.,11.0,1,287.9176414012909,2856.0,1.0,1.0,957_1
968,958,"Put the plate and bowl together in another cabinet in the kitchen and place them next to each other. The plate is a square white plate with a black geometric pattern, and the bowl is a white bowl with a brown lid. The plate and bowl are part of my dinnerware set.",14.0,3,219.63707876205444,1882.0,1.0,1.0,958_3
272,959,"First, move the toy vehicle from the bedroom to the living room. Then, place it on the couch in the living room. The toy vehicle is a green toy train with red and black details, called Thomas Friends Wooden Railway Henry. This toy train was my favorite childhood toy.",9.0,0,379.4454429149628,3985.0,1.0,1.0,959_0
942,960,"Move the book and candle from the living room couch to the dining table. Place them next to each other on the table. The book is beige titled 'UNIX' with a simple cover design, and the candle is white on a black holder. The book is a gift from my best friend.",15.0,3,314.3356885910034,3361.0,1.0,1.0,960_3
108,961,"Move the jug and cup from the kitchen counter to the dining table. Place them next to each other on the table. The jug is cream-colored with a curved handle, and the cup is black with a smooth surface. The cup is part of my favorite dinnerware.",15.0,0,237.2141900062561,1960.0,1.0,1.0,961_0
526,962,"Help me prepare for lunch by moving the jug and cup from the kitchen counter to the dining table. Place them next to each other. The jug is light green with a curved spout, and the cup is light pink with Pantone 337 C marking. The cup is a gift from my best friend.",15.0,1,223.5556836128235,2151.0,1.0,1.0,962_1
1102,964,"First, move the pen from the living room table to the shelves. Then, place it on the floor next to the bed in the bedroom. The pen is white with black accents. It's my lucky pen.",15.0,4,370.7591688632965,3870.0,1.0,1.0,964_2
1132,966,Move the laptop stand and multiport hub from the office table to the bedroom table. Place them next to each other on the table. I prefer to have my laptop stand and multiport hub together in the bedroom for my late-night work sessions.,9.0,4,71.16160130500793,864.0,1.0,1.0,966_4
858,967,Move a book and a pencil case from the bedroom to the living room. Place them on the table. I usually keep my book and pencil case in the living room for my afternoon study sessions.,11.0,2,193.8050644397736,2609.0,1.0,1.0,967_2
722,968,Move the laptop and mouse pad from the office table to the bedroom chest of drawers. Place them next to each other on the chest of drawers. I prefer to have my laptop and mouse pad on the bedroom chest of drawers for evening work sessions.,10.0,1,94.6750135421753,1009.0,1.0,1.0,968_1
854,970,Move the laptop and phone stand to the table in the office. Place them next to each other on the table. I prefer to have my laptop and phone stand together on the office table for my work setup.,10.0,2,139.41070532798767,1754.0,1.0,1.0,970_2
866,972,"First, move the vase and statue to the other shelves in the living room. Then, place them next to each other on the table in the living room. I always like to keep the vase and statue together on the table for my morning meditation.",17.0,2,152.85321140289307,1763.0,1.0,1.0,972_2
719,974,"First, put a clock next to the vase. Then, move both to the couch in the tv room. I usually keep the clock and vase together on the couch in the tv room to easily check the time while watching TV.",12.0,1,157.3739411830902,1941.0,1.0,1.0,974_1
26,975,"First, move the shoe and then the hat from the bedroom to the office and set them on the floor. Then, place them next to each other on the office table. I usually like to have my shoes and hat organized together on the office table for easy access when I leave.",20.0,0,331.9386320114136,4114.0,1.0,1.0,975_0
553,978,"Move a book and a pencil case from the bedroom to the living room. Place them on the table. The book has a cover image of a modern interior, and the pencil case is colorful with a paisley pattern, named Olive Kids Paisley Pencil Case. The book was a gift from a dear friend.",14.0,1,210.11769199371335,2562.0,1.0,1.0,978_1
691,979,"Move the laptop and mouse pad from the office table to the bedroom chest of drawers. Place them next to each other on the chest of drawers. The laptop is black with a backlit keyboard, and the mouse pad is black with a logo in the corner. The laptop is my personal work device.",14.0,2,112.45339775085448,992.0,1.0,1.0,979_2
695,981,"Move the laptop and phone stand to the table in the office. Place them next to each other on the table. The laptop is black with a touchpad, and the phone stand is black with a minimalist design. They are the essential part of my work setup.",12.0,2,139.42808938026428,1670.0,1.0,1.0,981_2
776,983,"First, move the vase and statue to the other shelves in the living room. Then, place them next to each other on the table in the living room. The vase is black with a bulbous shape, and the statue is a black dog. The black dog statue has been with me since my childhood.",19.0,2,122.29934978485107,1228.0,1.0,1.0,983_2
80,985,"First, put a clock next to the vase. Then, move both to the couch in the tv room. The vase is glossy black with a narrow neck, and the clock is gray with a rounded top and black numerals. The vase is a cherished family heirloom.",13.0,0,162.46432733535767,1783.0,1.0,1.0,985_0
76,986,"First, move the shoe and then the hat from the bedroom to the office and set them on the floor. Then, place them next to each other on the office table. The shoe is a white and silver ASICS with royal blue accents, GEL-1140V model, and the hat is a beige straw with a black band, DPC Tropical Trends Hat. The shoe and the hat are part of my travel essentials.",22.0,0,356.27550983428955,4111.0,1.0,1.0,986_0
843,987,Move the lamp to the bedroom table. Move the statue to the living room shelves. I prefer to have the lamp on the bedroom table for reading and the statue on the living room shelves for display.,14.0,2,258.070436000824,5339.0,1.0,1.0,987_2
356,988,Help me set up some visuals on the shelves. Move the picture frame and lamp there. The book can stay where it is. I prefer to have the picture frame and lamp on the shelves to enhance the visual appeal of the room.,10.0,0,123.73524761199953,2141.0,1.0,1.0,988_0
353,989,Can we move the candle and vase from the living room table to the bedroom chest of drawers? I enjoy having the candle and vase on the bedroom chest of drawers for a relaxing ambiance.,12.0,0,137.53122305870056,2417.0,1.0,1.0,989_0
1108,990,Move the jug and cup from the kitchen counter to the living room table. Place them next to each other. I prefer to have the jug and cup together in the living room for afternoon refreshments.,10.0,3,89.5471441745758,1731.0,1.0,1.0,990_3
301,992,"Move the candle holder, candle, and vase from the dining table to the living room shelves. Place them next to each other on the shelves. I prefer to have the candle holder, candle, and vase displayed together on the living room shelves for a cohesive look.",14.0,0,78.18187594413757,1196.0,1.0,1.0,992_0
634,995,"Move the lamp, vase, and picture frame from the living room table to the bedroom table. Place them next to each other on the bedroom table. I like to have the lamp, vase, and picture frame together on the bedroom table to create a cozy atmosphere before bedtime.",14.0,1,158.9535949230194,2830.0,1.0,1.0,995_1
236,998,Place the laptop stand on the living room table next to the laptop. I prefer to keep my laptop stand next to the laptop on the living room table for easy access during work sessions.,6.0,0,93.95928168296814,1629.0,1.0,1.0,998_0
246,999,"Move the lamp and then the vase from the table in the living room to the shelves, placing them next to each other. I prefer to keep the lamp and vase together on the shelves for a balanced look and easy access.",10.0,0,105.61239695549013,1894.0,1.0,1.0,999_0
789,1000,Move the statue and plant container from the living room shelves to the bedroom chest of drawers. Place them next to each other on the chest of drawers. I like to have the statue and plant container together on the bedroom chest of drawers for a decorative touch.,13.0,1,144.31915807724,2736.0,1.0,1.0,1000_1
786,1001,Move the laptop and then the laptop stand from the living room table to the bedroom table and place them next to each other. I prefer to have my laptop and stand set up in the bedroom for a more comfortable work environment.,10.0,1,121.14974522590636,2313.0,1.0,1.0,1001_1
82,1002,Move the dumbbell and shoe to the shelves in the living room and place them next to each other. I prefer to keep my workout equipment like dumbbells and shoes together on the living room shelves for easy access during workouts.,15.0,0,322.98682260513306,6092.0,1.0,1.0,1002_0
1107,1003,Move the book and pencil case from the living room table to the chest of drawers in the bedroom. Place them next to each other. I like to keep my book and pencil case together on the chest of drawers in the bedroom for late-night study sessions.,12.0,3,124.18226790428162,2437.0,1.0,1.0,1003_3
850,1005,"Move the jug and cup to the table in the living room. Then, place them next to each other on the chair. After that, put the laptop on the table in the bedroom. I like to have the jug and cup together on the chair for easy access when I'm relaxing in the living room, and the laptop is usually in the bedroom for my work.",22.0,2,173.15918445587158,2639.0,1.0,1.0,1005_2
945,1007,"Move the lamp, then the vase, and finally the statue to the shelves. Then, move them to the table in the bedroom and place them next to each other. I usually arrange the lamp, vase, and statue on the bedroom table in this sequence for a calming bedtime atmosphere.",28.0,2,194.8569443225861,3134.0,1.0,1.0,1007_2
324,1009,"Move the lamp to the bedroom table. Move the statue to the living room shelves. The lamp is wooden with a white spherical shade, and the statue is black hand-shaped with a glossy finish. The lamp was a gift from my grandmother.",18.0,1,263.0260546207428,4811.0,1.0,1.0,1009_1
8,1010,"Help me set up some visuals on the shelves. Move the picture frame and lamp there. The book can stay where it is. The lamp has a pineapple-shaped neon outline with a black base, and the picture frame is gold with a dark central image. The picture frame holds a special photo of my family reunion.",12.0,0,122.58763670921326,2203.0,1.0,1.0,1010_0
1082,1011,"Can we move the candle and vase from the living room table to the bedroom chest of drawers? The candle is white with a light blue base in a round holder, and the vase is black with white geometric patterns. The black vase was a special gift to me.",18.0,4,137.44178199768066,2533.0,1.0,1.0,1011_3
647,1012,"Move the jug and cup from the kitchen counter to the living room table. Place them next to each other. The jug is red with a white dot pattern, and the cup is a white, 16 oz coffee mug, ACE Coffee Mug Kristen. The coffee mug is my favorite.",13.0,2,97.8860535621643,1578.0,1.0,1.0,1012_2
961,1017,"Move the lamp, vase, and picture frame from the living room table to the bedroom table. Place them next to each other on the bedroom table. The lamp is wooden with a white spherical shade, the vase is white with a narrow neck, and the picture frame is copper with a diamond pattern. The lamp is a gift from my grandmother.",20.0,3,167.544410943985,2846.0,1.0,1.0,1017_3
1063,1021,"Move the lamp and then the vase from the table in the living room to the shelves, placing them next to each other. The lamp has a pineapple-shaped neon outline with a black base, and the vase is simple and gray. The lamp was a gift from my best friend.",13.0,4,86.49251127243042,1547.0,1.0,1.0,1021_4
2,1022,"Move the statue and plant container from the living room shelves to the bedroom chest of drawers. Place them next to each other on the chest of drawers. The plant container is a colorful assortment of electric pots from Cole Hardware, and the statue is a gray dog-shaped statue. The dog statue is a souvenir from my last vacation.",19.0,0,144.33561778068542,2549.0,1.0,1.0,1022_0
15,1023,"Move the laptop and then the laptop stand from the living room table to the bedroom table and place them next to each other. The laptop is black with a touchpad, and the laptop stand is black with foldable legs. The laptop is my personal device.",12.0,0,125.91567635536194,2214.0,1.0,1.0,1023_0
507,1024,"Move the dumbbell and shoe to the shelves in the living room and place them next to each other. The dumbbell is black and hexagonal with a metal handle, and the shoe is a black and pink running shoe, PureConnect 2. The shoe is part of my favorite running gear.",14.0,1,275.1776840686798,5807.0,1.0,1.0,1024_0
330,1025,"Move the book and pencil case from the living room table to the chest of drawers in the bedroom. Place them next to each other. The book is white with subtle yellow accents and a bookmark, and the pencil case has large white dots on an aqua background, named Big Dot Aqua Pencil Case. The book has my favorite notes.",17.0,1,135.5134415626526,2190.0,1.0,1.0,1025_1
1123,1032,Put the shoe and pencil case on the bedroom chest of drawers. I prefer to keep my shoe and pencil case on the chest of drawers for quick access when I'm getting ready in the morning.,10.0,4,73.80861401557922,1840.0,1.0,1.0,1032_4
1046,1033,"Move the candle holder, candle, and plant container from the dining table to the living room couch. Place them next to each other on the couch. In the evening, I like having these items together on the couch for a cozy atmosphere.",14.0,3,75.7200334072113,1549.0,1.0,1.0,1033_3
868,1034,Put away the one jug and one cup in the kitchen cabinet. I prefer to keep the jug and cup in the kitchen cabinet for easy access during breakfast.,11.0,2,44.80934691429138,770.0,1.0,1.0,1034_1
107,1035,"Help me move some toys and a bowl from the dining room to the living room. Take the toy airplane, toy animal, and bowl from the table in the dining room. Place them next to each other on the table in the living room. I enjoy having these toys and the bowl set up together in the living room for playtime with my child.",14.0,0,79.266526222229,1189.0,1.0,1.0,1035_0
101,1036,Move the toy airplane and toy vehicle from the closet shelves to the living room table. Place them next to each other on the table. I like to have the toy airplane and toy vehicle displayed together on the living room table for easy access when playing with them.,10.0,0,47.47207808494568,727.0,1.0,1.0,1036_0
534,1038,Move the jug and cup from the kitchen to the bedroom. Place them next to each other on the chest of drawers. I like having the jug and cup together on the chest of drawers in the bedroom for a convenient night drink.,13.0,3,96.64423537254332,1996.0,1.0,1.0,1038_3
109,1040,Move the stuffed toy from the couch to the chair in the living room. Place it next to the table. I like to keep the stuffed toy next to the table on the chair for decoration and easy access during my reading time.,7.0,0,72.3800892829895,1426.0,1.0,1.0,1040_0
105,1041,"Move the phone stand, laptop stand, and multiport hub to the entryway and place them on the table. I prefer to have these items ready on the entryway table for when I head out for work.",16.0,0,190.30808353424072,3936.0,1.0,1.0,1041_0
238,1042,Move the stuffed toys and put them in the chest of drawers in the bedroom. I prefer to keep my stuffed toys in the bedroom chest of drawers for easy access and organization.,15.0,1,117.75063562393188,2071.0,1.0,1.0,1042_1
1020,1044,"Put the shoe and pencil case on the bedroom chest of drawers. The shoe is a black and orange sports shoe, F10_TRX_FG_ssscuo9tGxb, and the pencil case is colorful featuring butterflies and flowers, Olive Kids Butterfly Garden. The pencil case is a gift from my childhood friend.",14.0,4,120.0529363155365,2754.0,1.0,1.0,1044_4
482,1045,"Move the candle holder, candle, and plant container from the dining table to the living room couch? Place them next to each other on the couch. The candle holder is white with a gold rim on a wooden base, the candle is blue and brown with a gradient pattern, and the plant container is a white and green orchid pot called Cole Hardware Orchid Pot 85. The candle holder and candle are part of my decorative set.",16.0,1,65.39031171798706,1146.0,1.0,1.0,1045_1
1023,1047,"Help me move some toys and a bowl from the dining room to the living room. Take the toy airplane, toy animal, and bowl from the table in the dining room. Place them next to each other on the table in the living room. The toy airplane is a red Air Hogs Wind Flyers Set, the toy animal is a detailed gray Schleich African Black Rhino, and the bowl is a black shallow bowl. The toy airplane and toy animal are part of my childhood collection.",17.0,4,68.35496640205383,1236.0,1.0,1.0,1047_4
471,1055,"Move the toy airplane to the living room couch. Take the book and laptop to the living room table. I usually keep the toy airplane on the couch for playtime, and I prefer having the book and laptop on the living room table for study sessions.",14.0,3,56.14249086380005,1347.0,1.0,1.0,1055_3
56,1056,"Put the phone stand, laptop stand, and multiport hub on the table in the bedroom. I prefer to have my phone stand, laptop stand, and multiport hub in the bedroom for a tidy and organized workspace.",19.0,0,88.34176898002625,2076.0,1.0,1.0,1056_0
360,1057,Move the plate from the dining table to the bedroom shelves. Place it next to the bed. I usually keep a plate next to the bed for late-night snacks.,6.0,2,26.22948527336121,504.0,1.0,1.0,1057_2
41,1058,Move the candle and book from the bedroom shelves to the living room table. Place them next to each other on the table. I like to have the candle and book together on the living room table for a relaxing reading session.,10.0,0,35.408055543899536,729.0,1.0,1.0,1058_0
204,1059,Move the plant container from the living room table to the bedroom shelves. I prefer having my plant container on the bedroom shelves to create a calming atmosphere.,5.0,1,24.013551950454712,460.0,1.0,1.0,1059_1
38,1061,"Move the vase, candle, and book from the bedroom shelves to the living room table and place them next to each other. I like to have these items together on the living room table for a cozy and decorative look.",13.0,0,82.64992213249207,1129.0,1.0,1.0,1061_0
367,1065,"Help me organize my closet in the bedroom. First, place the basket and shoe on another shelf in the bedroom, next to each other. Then, move them to the stand in the bedroom and place the hat close by. I have a routine of organizing my closet by first rearranging items on the shelf before placing them on the stand with the hat nearby.",19.0,2,61.09373593330383,1121.0,1.0,1.0,1065_2
44,1067,"First, move the laptop from the living room to the bedroom and place it on the bedside table. Then move the laptop from the bedside table to the stool in the bedroom. I usually start my work in the bedroom by placing the laptop on the bedside table, and then move it to the stool for a more comfortable working position.",12.0,0,49.45564293861389,1014.0,1.0,1.0,1067_0
159,1079,"First, move the clock from the table in the bedroom to the stand and place it next to the vase. Then, move the vase from the stand in the bedroom to the shelves in the living room. The clock is maroon and square with a patterned face, and the vase is black with a round shape. The clock was a gift from my grandfather.",11.0,0,54.422510385513306,854.0,1.0,1.0,1079_0
395,1080,"First, move the laptop from the living room to the bedroom and place it on the bedside table. Then move the laptop from the bedside table to the stool in the bedroom. The laptop is black with a sleek design. This laptop is my primary work device.",11.0,1,41.58568072319031,774.0,1.0,1.0,1080_1
169,1081,"Take the basket, can, and plant container from the kitchen cabinet to the dining table. I typically set them on the dining table for easy access when I'm organizing a centerpiece.",15.0,1,122.16924047470091,1392.0,1.0,1.0,1081_1
14,1082,Move the vase and stuffed toy from the dining table to the office shelves. Place them next to each other on the shelves. I prefer to keep the vase and stuffed toy together on the office shelves for a personal touch in my workspace.,10.0,0,84.26108145713806,953.0,1.0,1.0,1082_0
34,1083,Move the tray and plate from the hallway couch to the counter. Place them next to each other on the counter. I prefer to have the tray and plate together on the counter for easy access during meal prep.,12.0,0,119.22593998908997,983.0,1.0,1.0,1083_0
355,1084,"Help me tidy up the closet. Move the basket, hat, and candle to the top of different shelves. I prefer to have the basket, hat, and candle each on separate shelves for better organization and easy access.",16.0,2,262.3888077735901,3378.0,1.0,1.0,1084_1
555,1085,Move the lamp and plant container from the bedroom table to the living room table. Place them next to each other on the table. I like having the lamp and plant container together on the living room table for a cozy evening ambiance.,17.0,3,197.6663680076599,2444.0,1.0,1.0,1085_3
125,1088,Move the vase and then the plant saucer from the living room table to the hallway couch and place them next to each other. I prefer to have the vase and plant saucer together on the hallway couch for a decorative touch.,10.0,0,117.31963276863098,1339.0,1.0,1.0,1088_0
708,1091,Move the plate and bowl from the dining table to the living room table. Place them next to each other. I like to have the plate and bowl together on the living room table for casual meals while watching TV.,9.0,4,50.93004012107849,563.0,1.0,1.0,1091_4
122,1092,"First, bring the jug from the kitchen to the dining room. Then, place it on the table. I usually have the jug on the dining table during meals for easy access to water.",8.0,0,67.36950898170471,718.0,1.0,1.0,1092_0
172,1094,"First, move the plate from the dining table to the chair. Then, place it on the table in the office. I typically move my plate to the office table to have my lunch while working.",10.0,1,63.01032209396362,609.0,1.0,1.0,1094_1
111,1095,"First, move the candle from the dining table to the office shelves. Next, move the vase to the office shelves and place it next to the candle. I like to keep the candle and vase together on the office shelves for a calming atmosphere while I work.",10.0,0,85.65251207351685,837.0,1.0,1.0,1095_0
855,1096,"Take the basket, can, and plant container from the kitchen cabinet to the dining table? The basket is a teal plastic Spritz Easter Basket, the can is a brown and yellow coffee can, Don Francisco's Gourmet Coffee Medium Decaf, and the plant container is a white and green Cole Hardware Orchid Pot 85. The coffee can is my favorite brand.",18.0,3,101.9384274482727,1118.0,1.0,1.0,1096_3
860,1097,"Move the vase and stuffed toy from the dining table to the office shelves. Place them next to each other on the shelves. The vase is brown with a ribbed design, and the stuffed toy is blue with a textured pattern and a white snout. The stuffed toy is my favorite childhood toy.",12.0,3,87.00538635253906,946.0,1.0,1.0,1097_3
723,1103,"Move the vase and then the plant saucer from the living room table to the hallway couch and place them next to each other. The vase is tall, dark green with a narrow neck, and the plant saucer is a natural-colored, round Ecoforms design. The vase was a gift from my friend.",15.0,2,99.14277505874634,1155.0,1.0,1.0,1103_2
466,1107,"First, bring the jug from the kitchen to the dining room. Then, place it on the table. The jug is cream-colored with a curved handle. The jug is a gift from my grandmother.",9.0,1,75.47109198570251,915.0,1.0,1.0,1107_1
861,1109,"First, move the plate from the dining table to the chair. Then, place it on the table in the office. The plate is golden with a scalloped edge. It's a special gift from my grandmother.",11.0,3,76.41179132461548,743.0,1.0,1.0,1109_3
392,1111,Move the kettle and tray from the laundry room/mudroom cabinet to the TV table. Place them next to each other on the table. I prefer having the kettle and tray on the TV table for easy access during movie nights.,10.0,2,75.11937427520752,1042.0,1.0,1.0,1111_2
149,1113,Move a laptop and a laptop stand from the lounge counter to the dining room table. Place them next to each other on the table. I prefer having my laptop and stand on the dining room table for working in a comfortable setting.,10.0,0,75.22093725204468,919.0,1.0,1.0,1113_0
326,1114,Move the phone stand to the TV table and the statue to the lounge counter. I prefer to keep the phone stand on the TV table and the statue on the lounge counter for better aesthetics and accessibility.,9.0,2,91.2854549884796,1369.0,1.0,1.0,1114_2
81,1115,Move the toy airplane and toy vehicle from the tv table to the garage bench. Place them next to each other on the bench. I like to keep the toy airplane and toy vehicle together on the garage bench for easy access when playing with them.,10.0,0,134.78875875473022,1890.0,1.0,1.0,1115_0
282,1116,Move the picture frame and vase from the dining room table to the tv shelves. Place them next to each other on the shelves. I like to keep the picture frame and vase together on the tv shelves for a cohesive look.,10.0,1,122.2286660671234,1889.0,1.0,1.0,1116_1
153,1117,Move the candle and vase from the dining table to the tv couch. Place them next to each other on the couch. I like to keep the candle and vase together on the TV couch for a cozy atmosphere.,11.0,0,136.0757474899292,1907.0,1.0,1.0,1117_0
88,1118,"Take the clock, vase, and candle from the table in the dining room and put them on the shelves in the TV room, placing them next to each other. I prefer to keep the clock, vase, and candle together on the shelves in the TV room to create a cozy atmosphere.",15.0,0,171.74861645698547,2366.0,1.0,1.0,1118_0
83,1119,"Help me prepare a snack in the tv room. First, move the apple, knife, and plate from the dining room to the tv room table. Place them next to each other on the table. I usually prepare my snack on the tv room table for easy access while watching TV.",15.0,0,183.6327564716339,2204.0,1.0,1.0,1119_0
218,1122,"First, move the candle from the table to the chair in the tv room. Then, place it on the tv table. I usually reposition the candle in this way to prepare for a cozy evening.",10.0,1,107.75509643554688,1561.0,1.0,1.0,1122_1
439,1123,"Move the phone stand to a new dining room chair. Also, move the statue to a new dining room chair. The phone stand is silver and light blue with a sleek design, and the statue is dark bronze with elongated features. The statue was a gift from my best friend.",9.0,1,91.4023504257202,1203.0,1.0,1.0,1123_0
657,1126,"Move a laptop and a laptop stand from the lounge counter to the dining room table. Place them next to each other on the table. The laptop is black with a dark keyboard, and the laptop stand is black with a rounded design. These items are part of my work setup.",9.0,2,64.55954909324646,859.0,1.0,1.0,1126_1
668,1127,"Move the phone stand to the tv table. Move the statue to the lounge counter. The phone stand is black with a minimalist design, and the statue is green of a sitting dog. The statue was a gift from my best friend.",9.0,2,98.04802942276,1480.0,1.0,1.0,1127_1
30,1128,"Move the tray to the cabinet in the toilet room and put the can on the counter in the lounge. The tray is white with cutout handles, and the can is a silver can of Polar Herring Fillets, Smoked & Peppered, 7.05 oz. The tray is a gift from my grandmother.",16.0,0,159.1065535545349,2271.0,1.0,1.0,1128_0
51,1129,"Move the toy airplane and toy vehicle from the TV table to the garage bench. Place them next to each other on the bench. The toy airplane is red and white with a pilot, and the toy vehicle is a blue toy train with a smiling face, Thomas & Friends Wooden Railway Talking Thomas. Both toys are part of my cherished collection.",13.0,0,134.94352841377258,1989.0,1.0,1.0,1129_0
417,1130,"Move the picture frame and vase from the dining room table to the TV shelves. Place them next to each other on the shelves. The picture frame is wooden with a black and white dove image, and the vase is brown and beige with a pebble-like pattern. The picture frame holds a special photo of my family's pet dove.",13.0,2,125.11353373527528,1834.0,1.0,1.0,1130_2
121,1131,"Move the candle and vase from the dining table to the tv couch? Place them next to each other on the couch. The candle is white and shaped like a gift box with a black bow, and the vase is brown with a gradient pattern. The candle is a gift from my best friend.",12.0,0,128.5155806541443,1744.0,1.0,1.0,1131_0
277,1132,"Take the clock, vase, and candle from the table in the dining room and put them on the shelves in the tv room, placing them next to each other? The clock is a black vintage one with a round face and a small ring on top, the vase is colorful with a geometric mosaic pattern, and the candle is white on a black, geometric holder. The clock was a gift from my grandmother.",19.0,1,145.49461102485657,1968.0,1.0,1.0,1132_1
133,1133,"Help me prepare a snack in the tv room. First, move the apple, knife, and plate from the dining room to the tv room table. Place them next to each other on the table. The apple is red with a hint of orange, the knife is silver with a black handle, and the plate is dark blue and hexagonal. I prefer to use this knife and plate when preparing snacks.",21.0,0,206.5098190307617,2397.0,1.0,1.0,1133_0
494,1137,"First, move the candle from the table to the chair in the tv room. Then, place it on the tv table. The candle is mint green with white butterfly designs. This candle is my favorite.",14.0,2,114.1868200302124,1587.0,1.0,1.0,1137_2
67,1138,"Move the clock to a new living room table. Also, move the candle holder to a new living room table. I prefer to have the clock and candle holder together on the new table for a cozy ambiance.",11.0,0,62.62519407272339,879.0,1.0,1.0,1138_0
62,1140,Move the kettle and ladle from the office to the kitchen and place them next to each other on the counter. I prefer to keep the kettle and ladle next to each other on the kitchen counter for easy access when I'm cooking.,11.0,0,76.34686827659607,1256.0,1.0,1.0,1140_0
64,1141,"First, move the jug from the kitchen counter to the living room table. Then, take the cup and plate from the kitchen cabinet to the living room table and place them next to each other. I usually set up the living room table like this for afternoon tea.",15.0,0,114.21633887290956,1735.0,1.0,1.0,1141_0
577,1143,Move the candle holder and vase from the living room table to the office cabinet. Place them next to each other on the cabinet. I prefer to keep the candle holder and vase together on the office cabinet for a calming atmosphere while I work.,14.0,4,79.16437220573425,1165.0,1.0,1.0,1143_4
